user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
8_M,Markov-2,0.9857,0.8555,0.9628,0.906,2372.13,85.85
8_M,VariableOrderMarkov,0.9785,0.8165,0.957,0.8812,2362.66,85.51
8_M,ContextMarkov,0.9846,0.8022,0.953,0.8711,2370.64,85.8
8_M,ClusterMarkov,0.9826,0.8206,0.9581,0.8841,2366.63,85.65
8_M,GlobalMarkov2,0.9734,0.8245,0.9564,0.8855,2354.66,85.22
8_M,GraphOnly,0.9795,0.8416,0.9627,0.8981,2362.13,85.49
8_M,Graph+Confidence,0.9816,0.849,0.9628,0.9023,2365.64,85.62
8_M,GraphMindRL,0.9816,0.839,0.9519,0.8919,2365.64,85.62
8_M,RLAdaptiveEnsemble,0.9764,0.8052,0.9538,0.8732,2358.65,85.37
27_F,Random,0.3908,0.0784,0.2984,0.1242,838.33,30.34
27_F,LRU,0.7138,0.2248,0.5908,0.3257,1308.94,47.37
27_F,LFU,0.723,0.2862,0.6664,0.4004,1322.37,47.86
27_F,Frequency,0.7272,0.2881,0.6693,0.4028,1328.57,48.08
27_F,RecencyFrequency,0.7272,0.2881,0.6693,0.4028,1328.57,48.08
27_F,Markov-1,0.6926,0.313,0.67,0.4267,1279.19,46.3
27_F,Markov-2,0.6473,0.3233,0.6361,0.4287,1212.9,43.9
27_F,VariableOrderMarkov,0.6594,0.2995,0.6813,0.4161,1230.32,44.53
27_F,ContextMarkov,0.658,0.2875,0.6687,0.4022,1228.39,44.46
27_F,ClusterMarkov,0.6127,0.2825,0.6537,0.3945,1161.99,42.06
27_F,GlobalMarkov2,0.658,0.2828,0.6226,0.3889,1227.6,44.43
27_F,GraphOnly,0.6926,0.313,0.67,0.4267,1279.19,46.3
27_F,Graph+Confidence,0.7258,0.3184,0.6747,0.4327,1326.65,48.01
27_F,GraphMindRL,0.7237,0.3313,0.6632,0.4419,1323.55,47.9
27_F,RLAdaptiveEnsemble,0.6516,0.2852,0.6661,0.3994,1219.1,44.12
24_F,Random,0.8456,0.1586,0.4852,0.2391,1832.41,66.32
24_F,LRU,0.9769,0.5551,0.8591,0.6744,2027.55,73.38
24_F,LFU,0.9771,0.6615,0.9068,0.765,2027.96,73.4
24_F,Frequency,0.9771,0.6597,0.9065,0.7636,2027.9,73.39
24_F,RecencyFrequency,0.9771,0.6629,0.9077,0.7662,2027.9,73.39
24_F,Markov-1,0.9845,0.8111,0.9535,0.8765,2038.58,73.78
24_F,Markov-2,0.9814,0.7929,0.9432,0.8615,2034.22,73.62
24_F,VariableOrderMarkov,0.9714,0.7288,0.9307,0.8175,2019.68,73.1
24_F,ContextMarkov,0.9683,0.7322,0.9318,0.8201,2015.58,72.95
24_F,ClusterMarkov,0.9669,0.7259,0.9291,0.815,2013.15,72.86
24_F,GlobalMarkov2,0.9762,0.771,0.9384,0.8465,2026.51,73.34
24_F,GraphOnly,0.9845,0.8111,0.9535,0.8765,2038.58,73.78
24_F,Graph+Confidence,0.9786,0.7192,0.9253,0.8093,2030.23,73.48
24_F,GraphMindRL,0.9783,0.7148,0.9076,0.7998,2029.76,73.46
24_F,RLAdaptiveEnsemble,0.97,0.7313,0.9315,0.8193,2018.06,73.04
13_F,Random,0.7747,0.1505,0.4698,0.228,1805.82,65.36
13_F,LRU,0.9405,0.4738,0.8102,0.5979,2045.81,74.04
13_F,LFU,0.9423,0.4973,0.8307,0.6222,2048.48,74.14
13_F,Frequency,0.9451,0.4552,0.8069,0.5821,2052.5,74.29
13_F,RecencyFrequency,0.9451,0.4552,0.8069,0.5821,2052.5,74.29
13_F,Markov-1,0.956,0.5007,0.8258,0.6234,2068.6,74.87
13_F,Markov-2,0.9405,0.5149,0.8163,0.6315,2045.96,74.05
13_F,VariableOrderMarkov,0.9396,0.4768,0.82,0.603,2044.44,73.99
13_F,ContextMarkov,0.9451,0.4613,0.8106,0.588,2052.47,74.28
13_F,ClusterMarkov,0.9249,0.4641,0.812,0.5906,2023.96,73.25
13_F,GlobalMarkov2,0.9158,0.4296,0.7762,0.5531,2009.84,72.74
