phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase4_order,12_M,M2_Laplace_050,0.7829,0.414,0.7568,0.5352,1329.16,48.11
phase4_order,12_M,M2_Backoff_3,0.7803,0.4048,0.7647,0.5294,1325.18,47.96
phase4_order,12_M,M2_Backoff_5,0.7848,0.4054,0.7716,0.5316,1331.95,48.21
phase4_order,12_M,M2_Backoff_10,0.7919,0.4158,0.7803,0.5425,1342.1,48.57
phase4_order,12_M,M2_JM_K3,0.8057,0.4154,0.7803,0.5421,1362.32,49.31
phase4_order,12_M,M2_JM_K5,0.8054,0.4153,0.7803,0.5421,1361.86,49.29
phase4_order,12_M,M2_JM_K10,0.8083,0.4183,0.7824,0.5452,1365.95,49.44
phase4_order,16_F,M2_Naive,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_001,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_010,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_050,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Backoff_3,0.9415,0.6735,0.8822,0.7639,2150.61,77.84
phase4_order,16_F,M2_Backoff_5,0.9423,0.6669,0.8823,0.7596,2151.75,77.88
phase4_order,16_F,M2_Backoff_10,0.9423,0.668,0.8843,0.7611,2151.59,77.87
phase4_order,16_F,M2_JM_K3,0.9392,0.6644,0.9082,0.7674,2147.03,77.71
phase4_order,16_F,M2_JM_K5,0.9376,0.6685,0.9098,0.7707,2144.75,77.62
phase4_order,16_F,M2_JM_K10,0.9384,0.6708,0.9106,0.7725,2145.89,77.67
phase4_order,21_F,M2_Naive,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Laplace_001,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Laplace_010,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Laplace_050,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Backoff_3,0.9096,0.3491,0.7112,0.4683,1908.06,69.06
phase4_order,21_F,M2_Backoff_5,0.9205,0.3541,0.7243,0.4756,1922.99,69.6
phase4_order,21_F,M2_Backoff_10,0.9178,0.3571,0.7296,0.4795,1919.53,69.47
phase4_order,21_F,M2_JM_K3,0.9096,0.3542,0.7328,0.4775,1906.96,69.02
phase4_order,21_F,M2_JM_K5,0.9068,0.3537,0.7324,0.477,1902.96,68.87
phase4_order,21_F,M2_JM_K10,0.9096,0.3542,0.7328,0.4775,1907.51,69.04
phase4_order,7_F,M2_Naive,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
phase4_order,7_F,M2_Laplace_001,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
phase4_order,7_F,M2_Laplace_010,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
phase4_order,7_F,M2_Laplace_050,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
phase4_order,7_F,M2_Backoff_3,0.955,0.7661,0.9387,0.8436,1848.98,66.92
phase4_order,7_F,M2_Backoff_5,0.9567,0.7663,0.9398,0.8442,1851.5,67.01
phase4_order,7_F,M2_Backoff_10,0.9613,0.7698,0.9414,0.847,1858.15,67.25
phase4_order,7_F,M2_JM_K3,0.9559,0.7688,0.9433,0.8472,1850.13,66.96
phase4_order,7_F,M2_JM_K5,0.957,0.7675,0.9429,0.8462,1851.7,67.02
phase4_order,7_F,M2_JM_K10,0.9604,0.7688,0.9433,0.8471,1856.67,67.2
phase4_order,6_M,M2_Naive,0.9131,0.518,0.7824,0.6233,2049.98,74.19
phase4_order,6_M,M2_Laplace_001,0.9131,0.518,0.7824,0.6233,2049.98,74.19
phase4_order,6_M,M2_Laplace_010,0.9131,0.518,0.7824,0.6233,2049.98,74.19
phase4_order,6_M,M2_Laplace_050,0.9131,0.518,0.7824,0.6233,2049.98,74.19
phase4_order,6_M,M2_Backoff_3,0.9202,0.4995,0.7884,0.6116,2059.69,74.55
phase4_order,6_M,M2_Backoff_5,0.9231,0.4972,0.7917,0.6108,2063.85,74.7
phase4_order,6_M,M2_Backoff_10,0.9302,0.4958,0.7925,0.61,2074.26,75.07
phase4_order,6_M,M2_JM_K3,0.9231,0.4816,0.8228,0.6076,2063.85,74.7
phase4_order,6_M,M2_JM_K5,0.9245,0.4831,0.8237,0.609,2065.93,74.77
phase4_order,6_M,M2_JM_K10,0.9231,0.4816,0.8228,0.6076,2065.26,74.75
phase4_order,8_M,M2_Naive,0.9857,0.8555,0.9628,0.906,2372.13,85.85
phase4_order,8_M,M2_Laplace_001,0.9857,0.8555,0.9628,0.906,2372.13,85.85
phase4_order,8_M,M2_Laplace_010,0.9857,0.8555,0.9628,0.906,2372.13,85.85
phase4_order,8_M,M2_Laplace_050,0.9857,0.8555,0.9628,0.906,2372.13,85.85
phase4_order,8_M,M2_Backoff_3,0.9867,0.8544,0.9628,0.9054,2373.12,85.89
phase4_order,8_M,M2_Backoff_5,0.9857,0.8565,0.9644,0.9072,2371.63,85.84
phase4_order,8_M,M2_Backoff_10,0.9877,0.8559,0.9649,0.9072,2374.12,85.93
phase4_order,8_M,M2_JM_K3,0.9857,0.8501,0.9659,0.9043,2371.12,85.82
phase4_order,8_M,M2_JM_K5,0.9846,0.85,0.9659,0.9043,2369.62,85.76
phase4_order,8_M,M2_JM_K10,0.9846,0.852,0.9664,0.9056,2369.62,85.76
phase4_order,27_F,M2_Naive,0.6473,0.3233,0.6361,0.4287,1212.9,43.9
phase4_order,27_F,M2_Laplace_001,0.6473,0.3233,0.6361,0.4287,1212.9,43.9
